DAC	R	G	B	W
203	-1	-1	-1	99.0438
204	-1	-1	-1	100.175
205	-1	-1	-1	101.3063
206	-1	-1	-1	102.4375
207	-1	-1	-1	103.5687
208	-1	-1	-1	104.7
209	-1	-1	-1	106.1313
210	-1	-1	-1	107.5625
211	-1	-1	-1	108.9938
212	-1	-1	-1	110.425
213	-1	-1	-1	111.8563
214	-1	-1	-1	113.2875
215	-1	-1	-1	114.7188
216	-1	-1	-1	116.15
217	-1	-1	-1	117.5813
218	-1	-1	-1	119.0125
219	-1	-1	-1	120.4437
220	-1	-1	-1	121.875
221	-1	-1	-1	123.3062
222	-1	-1	-1	124.7375
223	-1	-1	-1	126.1687
224	-1	-1	-1	127.6
225	-1	-1	-1	129.1188
226	-1	-1	-1	130.6375
227	-1	-1	-1	132.1563
228	-1	-1	-1	133.675
229	-1	-1	-1	135.1937
230	-1	-1	-1	136.7125
231	-1	-1	-1	138.2312
232	-1	-1	-1	139.75
233	-1	-1	-1	141.2688
234	-1	-1	-1	142.7875
235	-1	-1	-1	144.3063
236	-1	-1	-1	145.825
237	-1	-1	-1	147.3438
238	-1	-1	-1	148.8625
239	-1	-1	-1	150.3812
240	-1	-1	-1	151.9
241	-1	-1	-1	153.0333
242	-1	-1	-1	154.1667
243	-1	-1	-1	155.3
244	-1	-1	-1	156.4333
245	-1	-1	-1	157.5667
246	-1	-1	-1	158.7
247	-1	-1	-1	159.8333
248	-1	-1	-1	160.9667
249	-1	-1	-1	162.1
250	-1	-1	-1	163.2333
251	-1	-1	-1	164.3667
252	-1	-1	-1	165.5
253	-1	-1	-1	166.6333
254	-1	-1	-1	167.7667
255	-1	-1	-1	168.9
